AGI_Code	Name.x	Function.x	Localisation	DOI	Comment.x	BIN	metal.1	metal.2	metal.3	Short.name.x	Annotation.x	Other.Name.Type.	Keywords	Is.full.length.cDNA	Name.y	Pathway.x	Function.y	Activity	Comment.y	Annotation.y	Annotation.x	Annotation.y	Annotation	Short.name.y	Localization	Pathway.y	Proposed.functions	Short.name	Localizationa	Fe.S.cluster.typeb	Full.name.annotation	Gene.short.name	Name	Meiotic.phase	Description_custom	Gene_Name	Protein	Function	Ref.	Title	Protein.family.or.Function	Function.related.to.Suberin	Refs
AT2G45240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 MAP1A (METHIONINE AMINOPEPTIDASE 1A); methionyl aminopeptidase [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
At2g45280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		Homologous recombination		Rad51 homolog	 Mutant defective in Meiosis , MMC-s (Bleuyard2005)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G45280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAD51C		early DSB repair in meiotic recombination	SPO11-induced DSB repair; recombinase (RecA homologue catalysing strand exchange); required for meiosis; also involved in mitotic recombination (DNA repeair); single-strand DNA invasion	NA	NA	NA	NA	NA	NA	NA	NA
AT2G45510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	member of CYP704A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G45530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G45550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	member of CYP76C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G45560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cytochrome P450 monooxygenase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G45570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	member of CYP76C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G45580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	member of CYP76C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G45710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 structural constituent of ribosome [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G45800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G45970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed at moderate levels in flowers, leaves, roots and stems.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 WRKY43; transcription factor [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	delta-8 sphingolipid desaturase, putative; FUNCTIONS IN: oxidoreductase activity, oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water, iron ion binding, heme binding; INVOLVED IN: fatty acid biosynthetic process, lipid metabolic process; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Fatty acid desaturase, type 1 (InterPro:IPR005804), Cytochrome b5 (InterPro:IPR001199), Fatty acid/sphingolipid desaturase (InterPro:IPR012171); BEST Arabidopsis thaliana protein match is: delta-8 sphingolipid desaturase (SLD1) (TAIR:AT3G61580.1); Has 4212 Blast hits to 4149 proteins in 626 species: Archae - 1; Bacteria - 637; Metazoa - 966; Fungi - 1090; Plants - 641; Viruses - 2; Other Eukaryotes - 875 (source: NCBI BLink).	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46320	MTM1-like	AtMTM1-like member of the MSC superfamily					Mn			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46440	CNGC11	Arabidopsis putative cyclic nucleotide-gated ion channel 11		10.3390/ijms20020413			Ca	Cd		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46570	NA	NA	NA	NA	NA	NA	NA	NA	NA	LAC6	LAC6 (laccase 6); copper ion binding / oxidoreductase		Identical to Laccase-6 precursor  (LAC6) [Arabidopsis Thaliana] (GB:Q9ZPY2;GB:Q8RY28); similar to LAC5 (laccase 5), copper ion binding / oxidoreductase [Arabidopsis thaliana] (TAIR:AT2G40370.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14402.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN75876.1); contains InterPro domain Multicopper oxidase, type 3; (InterPro:IPR011707); contains InterPro domain Cupredoxin (InterPro:IPR008972); contains InterPro domain Multicopper oxidase, type 2; (InterPro:IPR011706); contains InterPro domain Multicopper oxidase, type 1; (InterPro:IPR001117); contains InterPro domain Multicopper oxidase, copper-binding site; (InterPro:IPR002355)		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 DAG2 (DOF AFFECTING GERMINATION 2); DNA binding / transcription factor [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	member of Cytochromes b5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	member of CYP78A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46800	MTP1	cation diffusion facitlitator or metal transport protein family (named CDF1 by us)			AtMTP1, Zn transporter, overexpressed in A. halleri	transport.metal	Zn			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 ZAT1; zinc ion transporter [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 	NA	NA	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	member of CYP709B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	member of CYP709B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G46980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ASY3	ASYNAPTIC 3	Axis and synaptomnemal complex	also PAIR3; meiotic gene; coiled-coil domain protein required for normal meiosis; selection in tetraploid arenosa; interacts with ASY1; AE-associated protein; IH bias	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47015	mir408	mir408 microRNA family			Upregulared under Cu deficiency. Targets: ARPN, LAC3, LAC12, LAC13		Cu			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 SPL1 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 1); DNA binding / transcription factor [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 nucleic acid binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 UBQ6; protein binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 WRKY23; transcription factor [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cytochrome c oxidase subunit Vc family protein / COX5C family protein; FUNCTIONS IN: cytochrome-c oxidase activity; LOCATED IN: mitochondrion; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome c oxidase subunit Vc (InterPro:IPR008432); BEST Arabidopsis thaliana protein match is: cytochrome c oxidase subunit Vc, putative / COX5C, putative (TAIR:AT5G61310.4); Has 60 Blast hits to 60 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 60; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 CP12-1 [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
At2g47590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PHR2	Photoreactivation				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47600	MHX1	Mg2+/H+ antiporter; Zn/H+ antiporter	tonoplast		putative Mg2+/H+ exchanger, CaCa family	transport.metal	Mg	Zn		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Encodes a magnesium/proton exchanger, member of putative Na+/Ca2+ antiporter gene family	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 ATP binding / ATP-dependent helicase/ helicase/ nucleic acid binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47830	MTP6	cation diffusion facitlitator or metal transport protein family (named CDF6 by us)			AtMTPc1/AtMTP6	transport.metal	Fe			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 cation transporter/ efflux permease [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 nucleic acid binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G47980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SCC3	SISTER-CHROMATID COHESION PROTEIN 3	Sister chromatid cohesion	SCC, monopolar orientation of kinetochore, DSB repair	NA	NA	NA	NA	NA	NA	NA	NA
AT2G48080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2G48100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 exonuclease/ nucleic acid binding / zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ISU2/IscU2 	Mitochondria 	ISC 	Fe-S cluster scaffold	ISU2*	Mitochondria	[4Fe-4S]	Iron-sulfur scaffold protein 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01070	NA	NA	NA	NA	NA	NA	NA	NA	NA		plastocyanin-like domain-containing protein		similar to plastocyanin-like domain-containing protein [Arabidopsis thaliana] (TAIR:AT5G15350.1); similar to lamin [Brassica rapa] (GB:ABL97976.1); contains InterPro domain Cupredoxin (InterPro:IPR008972); contains InterPro domain Plastocyanin-like; (InterPro:IPR003245)		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 WRKY58; transcription factor [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	peroxidase 27 (PER27) (P27) (PRXR7); FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; EXPRESSED IN: hypocotyl, root; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: peroxidase, putative (TAIR:AT5G15180.1); Has 2705 Blast hits to 2689 proteins in 165 species: Archae - 0; Bacteria - 4; Metazoa - 2; Fungi - 24; Plants - 2661; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink).	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Encodes a ECA1 gametogenesis related family protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Encodes an alpha-dioxygenase involved in protection against oxidative stress and cell death. Induced in response to Salicylic acid and oxidative stress.  Independent of NPR1 in  induction by salicylic acid.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 MBD9; DNA binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 CA1 (CARBONIC ANHYDRASE 1); carbonate dehydratase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01650	RGLG1	 RING DOMAIN LIGASE1, E3 ubiquitin ligase in drought stress and Fe deficiency response			Wolfgang Schmidt 2015		Fe			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Encodes TPLATE, a cytokinesis protein targeted to the cell plate.  Functions in vesicle-trafficking events required for site-specific cell wall modifications during pollen germination and for anchoring of the cell plate to the mother wall at the correct cortical position.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 ribulose-phosphate 3-epimerase [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	member of CYP94B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Encodes a homodimeric Mo-enzyme with molybdopterin as organic component of the molybdenum cofactor.  It lacks the heme domain that other eukaryotic Mo-enzymes possess and has no redox-active centers other than the molybdenum.  SO protein has been found in all parts of the plant. The plant SO combines its enzymatic  sulfite oxidation with a subsequent nonenzymatic step using its reaction product H2O2 as intermediate for oxidizing another molecule of sulfite.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G01970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 WRKY45; transcription factor [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
At3g02060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NER-related		Recruits nuclease in transcription-coupled NER		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G02065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 ATP binding / ATP-dependent helicase/ helicase/ nucleic acid binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G02090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 MPPBETA; metalloendopeptidase [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G02260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 BIG (DARK OVER-EXPRESSION OF CAB 1); ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G02280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	flavodoxin family protein; FUNCTIONS IN: electron carrier activity, oxidoreductase activity, FMN binding, iron ion binding; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: Ferredoxin reductase-type FAD-binding domain (InterPro:IPR017927), Flavodoxin-like (InterPro:IPR001094), Flavodoxin/nitric oxide synthase (InterPro:IPR008254), Oxidoreductase FAD/NAD(P)-binding (InterPro:IPR001433), Riboflavin synthase-like beta-barrel (InterPro:IPR017938), FAD-binding, type 1 (InterPro:IPR003097), Flavoprotein pyridine nucleotide cytochrome reductase (InterPro:IPR001709); BEST Arabidopsis thaliana protein match is: ATR1 (ARABIDOPSIS P450 REDUCTASE 1); NADPH-hemoprotein reductase (TAIR:AT4G24520.1); Has 4772 Blast hits to 4456 proteins in 984 species: Archae - 7; Bacteria - 2251; Metazoa - 898; Fungi - 571; Plants - 341; Viruses - 0; Other Eukaryotes - 704 (source: NCBI BLink).	NA	TAH18/ATR3	Cytosol 	CIA	Reductase, Electron donation/Electron transfer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G02290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G02340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
At3g02540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAD23C	NER		Binds damaged DNA as complex		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G02570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 mannose-6-phosphate isomerase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G02610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 acyl-[acyl-carrier-protein] desaturase, putative / stearoyl-ACP desaturase, putative [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
